Exercise Name,Category,Age Group,Goals,Target Region,Contraindications,Fitness Level,Available Equipment,Sets,Reps,RPE,Rest Intervals,Health Benefit,Steps to Perform,Safety Cue,Validation Status
"Cycling (High Resistance, Seated)","Low-Impact Cardio, Functional Strength",18-60,"Increase overall strength, Improve cardiovascular fitness","Lower Body, Full Body","Acute knee pain, unmanaged high blood pressure",Level 4 – Active Wellness,Cardio Tools (Bike/Spin),1,15-20 minutes,7-6,N/A,Muscular Endurance & Power,"1. Adjust the resistance to a challenging level that forces you to push with effort on each stroke. 2. Maintain a seated position. Pedal at a slower, forceful pace (e.g., 60-80 RPM). 3. Focus on pushing through the heels and engaging the glutes/hamstrings.",Ensure seat height is correct (slight knee bend at bottom). Keep your core engaged to prevent rocking.,
Resistance Band Push-Up,Functional Strength,18-55,Increase overall strength,"Upper Body, Core","Acute shoulder or wrist pain, unhealed chest injury",Level 4 – Active Wellness,Resistance Band (Long),3,12-Aug,8-7,90 seconds,Increased Chest Strength & Resistance,"1. Loop a long resistance band across your upper back, gripping the ends under your hands. 2. Get into a standard plank position (band adds resistance against gravity). 3. Perform a standard push-up, fighting against the band tension on the way up.",Keep your body in a straight line (rigid plank). Ensure the band is secure and won't snap up at the end of the movement.,
Windmill Stretch (Standing),"Mobility, Flexibility",All Ages,"Improve Flexibility & Mobility, Posture","Full Body, Core","Acute spinal disc injury, severe shoulder impingement",Level 3 – Moderate / Independent,"Bodyweight, Optional Dumbbell",2,8-10 / side,4-3,30 seconds,Spinal Rotation & Hip/Hamstring Stretch,"1. Stand with feet wide, turn one foot out 90 degrees. Extend arms out wide (like a T). 2. Hinge at the hip, sliding the hand down the inside of the front leg (or reach for a toe/block). 3. Extend the opposite arm toward the ceiling, keeping a flat back and looking toward the top hand.","Keep the spine long and straight (flat back); the movement is a side-body hinge, not a rounding forward.",
Nasal Breathing Only (During Cardio),Breathing & Diaphragmatic Work,All Ages,"Improve Focus, Reduce Stress",Full Body,"Severe congestion, unmanaged respiratory condition",Level 4 – Active Wellness,Cardio Tools (Any),1,10-20 minutes,7-5,N/A,Improved CO2 Tolerance & Efficiency,"1. Choose a low-to-moderate intensity cardio activity (e.g., walking, slow jog, bike). 2. Maintain the activity for 10-20 minutes, only breathing through the nose (both inhale and exhale). 3. If you must open your mouth, reduce the intensity immediately.",Keep the intensity low enough that you can comfortably sustain nasal breathing without gasping for air.,
Dumbbell Split Squat (Rear Foot Elevated),Functional Strength,18-50,"Increase overall strength, Improve Flexibility & Mobility","Lower Body, Core","Acute knee pain, severe ankle instability",Level 5 – Adaptive Advanced,"Free Weights (Dumbbells), Bench",3,8-12 / leg,8-7,90 seconds,Maximal Leg Strength & Hip Mobility,"1. Place the top of one foot on a bench behind you. Hold dumbbells at sides. 2. Lower into a lunge, dropping the back knee toward the floor. Maintain upright torso. 3. Drive through the front heel to return to the starting position.",Ensure the front knee tracks over the ankle. The majority of the load should be on the front leg.,
TRX/Suspension Trainer Piston Squat,"Functional Strength, Stability",18-60,"Increase overall strength, Rehabilitation & Injury prevention","Lower Body, Core","Acute knee pain, recent hip replacement",Level 3 – Moderate / Independent,Machine (Suspension Trainer),3,15-Oct,6-5,60 seconds,Joint-Friendly Strength & Stability,"1. Stand holding the handles, step back so the straps are taut. 2. Squat down deeply, keeping chest up and leaning back slightly to use the straps for support. 3. Press through the heels to stand, pulling on the straps as needed.","Maintain control of the descent and ascent. Use the straps only to assist balance, not to pull yourself up.",
Quadruped Opposite Arm/Leg Tap,"Core (Spine-Friendly), Stability",All Ages,"Rehabilitation & Injury prevention, Improve Posture and Balance",Core,"Acute wrist pain (use fists), severe SI joint pain",Level 2 – Beginner Functional,Mat,3,12-15 / side,4-3,45 seconds,Deep Core Coordination & Control,1. Start in a tabletop position (hands and knees). 2. Simultaneously lift and extend the opposite arm and leg straight out (like Bird Dog). 3. Draw the elbow and knee back in to gently tap underneath the torso. Extend and repeat.,Move slowly and with precision. Avoid letting the torso rock or shift as the limbs move.,
Dumbbell Incline Bench Row (Prone),"Posture, Stability",All Ages,"Improve Posture and Balance, Increase overall strength","Upper Body, Core","Acute shoulder impingement, unhealed sternum fracture",Level 4 – Active Wellness,"Free Weights (Dumbbells), Bench",3,12-Oct,7-6,60 seconds,Back Isolation & Spinal Deloading,"1. Lie face down on an incline bench, chest supported. Hold dumbbells underneath. 2. Pull the weights up toward the chest, squeezing the shoulder blades together. 3. Slowly lower the weights back to the start.","Keep your head neutral and focus entirely on pulling with the back muscles, not shrugging with the neck.",
Yoga: Half Pigeon Modification (Supported),"Flexibility, Yoga",60+,"Improve Flexibility & Mobility, Reduce Stress","Lower Body, Core","Acute knee pain, recent hip replacement (consult doc)",Level 1 – Assisted / Low Function,"Mat, Block/Pillow",2,Hold 60 sec / side,3-2,15 seconds,Gentle Hip & Glute Release,"1. Sit with one knee bent forward, the other leg extended straight back. 2. Place a cushion or folded blanket under the bent hip for support. 3. Rest forearms down or stay upright. Breathe into the outer hip/glute stretch.","The bent knee must feel comfortable. If there is any sharp knee pain, stop the stretch immediately.",
Lateral Bound (Explosive Hop),"Functional Strength, Cardio",18-40,"Increase overall strength, Improve cardiovascular fitness","Lower Body, Full Body","Acute knee/ankle pain, severe balance issues",Level 5 – Adaptive Advanced,Bodyweight,3,8-10 / side,9-8,90 seconds,Lateral Power & Injury Prevention,"1. Stand on one leg. Lower slightly into a quarter-squat. 2. Explode sideways, jumping as far as possible, landing softly on the opposite leg. 3. Immediately stabilize the landing before repeating the jump back in the opposite direction.",Land softly and absorb the impact through the hip and knee. Maintain control; stability is key.,
Seated Box Jump (to Low Box),"Functional Strength, Power",18-50,Increase overall strength,Lower Body,"Acute knee/ankle pain, unmanaged heart condition",Level 4 – Active Wellness,Box/Bench/Chair,3,10-Aug,8-7,90 seconds,Starting Strength & Explosive Power,"1. Sit on a sturdy box/bench (start height: below knee level). Feet flat. 2. Explosively jump forward onto a low target box, landing softly and standing up tall. 3. Step back down to the starting seated position.",Do not pause or rock at the bottom; explode immediately from the seated position. Ensure boxes are stable.,
Side Plank with Leg Lift,"Core (Spine-Friendly), Stability",18-55,"Increase overall strength, Rehabilitation & Injury prevention","Core, Lower Body (Hips)","Acute shoulder pain, recent hip surgery",Level 4 – Active Wellness,Mat,3,10-12 / side,7-6,60 seconds,Oblique & Hip Abductor Endurance,"1. Start in a forearm side plank (body in a straight line). 2. Keeping the core tight and hips lifted, slowly raise the top leg toward the ceiling. 3. Slowly lower the top leg back down without letting the hips sag.",Keep your hips pressed forward and stacked. Avoid letting your torso twist or lean backward.,
Seated Dumbbell Neutral Grip Row,"Functional Strength, Posture",All Ages,"Increase overall strength, Improve Posture and Balance",Upper Body (Back),"Acute elbow or wrist pain, severe low back instability",Level 3 – Moderate / Independent,"Free Weights (Dumbbells), Bench",3,12-Oct,7-6,60 seconds,Mid-Back Strength & Arm Comfort,"1. Sit at the end of a bench, hold dumbbells with palms facing each other (neutral grip). 2. Hinge forward slightly. Pull the weights to your chest, squeezing shoulder blades together. 3. Slowly lower the weights back to the start.",Keep your chest tall and back flat. The neutral grip can be easier on the shoulder capsule.,
Yoga: Eagle Pose (Garudasana),"Balance, Yoga",All Ages,"Improve Posture and Balance, Improve Flexibility & Mobility","Full Body, Core","Acute knee/ankle injury, severe dizziness",Level 4 – Active Wellness,Bodyweight,3,Hold 30 sec / side,6-5,45 seconds,"Focus, Joint Mobility & Stability","1. Stand tall. Wrap one leg tightly over the other, hooking the foot around the opposite calf. 2. Wrap the arms (opposite arm on top) and bring palms together or grab shoulders. 3. Squat down slightly and hold, keeping the core engaged.",Find a fixed point to gaze at. Gently squat low to deepen the hip and shoulder stretch.,
Lying Hamstring Stretch (Pike),"Flexibility, Rehabilitation",All Ages,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention",Lower Body,"Acute hamstring tear, knee ligament injury",Level 2 – Beginner Functional,"Mat, Strap/Towel",3,Hold 45 sec / side,3-2,15 seconds,Deep Hamstring & Calf Release,"1. Lie on back, legs extended. Loop a strap/towel around the ball of one foot. 2. Gently pull the strap, drawing the leg toward your head until a deep stretch is felt in the hamstring. 3. Keep the opposite leg straight and grounded.",Keep your lower back flat on the mat and breathe deeply into the stretch. A slight bend in the knee is okay.,
Kneeling Cable Crunch,Core (Spine-Friendly),18-50,Increase overall strength,Core (Rectus Abdominis),"Acute spinal disc injury, unhealed hernia",Level 4 – Active Wellness,Machine (Cable),3,15-20,8-7,60 seconds,Abdominal Isolation & Endurance,"1. Kneel facing the high pulley, gripping the rope attachment by your ears/neck. 2. Curl your torso down toward your thighs, squeezing the abs tightly. 3. Slowly uncurl the torso back to the starting kneeling position, resisting the weight.","The movement is only a spinal curl, not a hip hinge. Keep the hips stationary and focus the effort on the abs.",
Seated Marching,"Low-Impact Cardio, Stability",60+,"Improve cardiovascular fitness, Rehabilitation & Injury prevention","Lower Body, Core","Acute hip/knee pain, severe balance issues",Level 1 – Assisted / Low Function,Sturdy Chair,3,60-90 seconds,3-2,30 seconds,Gentle Cardio & Hip Flexor Activation,"1. Sit upright near the edge of a chair, feet flat on the floor. 2. Alternately lift one knee toward the chest, simulating a slow marching motion. 3. Maintain a consistent, steady pace.",Keep your back straight and avoid rocking side-to-side. Use your hands on the chair arms for support if needed.,
Hanging Knee Raise (Vertical Knee),"Core (Spine-Friendly), Gymnastics",18-40,Increase overall strength,Core (Lower Abs),"Acute shoulder instability, severe grip weakness",Level 5 – Adaptive Advanced,Functional Tools (Pull-up Bar),3,15-Oct,8-7,90 seconds,Maximal Lower Abdominal Strength,"1. Hang from a pull-up bar with an overhand grip. 2. Keeping core tight, lift both knees straight up toward the chest/ribcage. 3. Slowly lower the legs back down, maintaining control and avoiding swinging.",Avoid swinging your body (kipping). The movement should be controlled by the core through the entire range.,
Yoga: Seated Side Bend,"Mobility, Flexibility",All Ages,"Improve Flexibility & Mobility, Reduce Stress","Full Body, Core","Acute spinal disc injury, severe scoliosis",Level 1 – Assisted / Low Function,Mat/Chair,2,30-45 sec / side,2-1,15 seconds,Side Body Stretch & Spinal Length,"1. Sit cross-legged (or on a chair) with a tall spine. 2. Raise one arm overhead. Gently lean the torso straight over to the opposite side. 3. Breathe into the ribs and side of the torso, reaching the arm long. Slowly return and switch.","Ground both sit bones evenly. The movement is a gentle lift and lean, not a rounding forward.",
Wall Sit with Alternating Heel Raise,"Functional Strength, Stability",40+,"Increase overall strength, Rehabilitation & Injury prevention","Lower Body, Core","Acute knee pain, recent Achilles tendon repair",Level 4 – Active Wellness,"Bodyweight, Wall",3,10-12 / side,7-6,60 seconds,Quad Endurance & Calf/Ankle Stability,"1. Get into a standard Wall Sit position (90-degree knees). 2. While holding the squat, slowly lift one heel off the floor (calf raise). 3. Lower the heel and switch sides, maintaining the squat depth throughout.",Keep your back flat against the wall and avoid letting your hips shift side-to-side during the heel lift.,
Dumbbell Pullover (Lying),"Functional Strength, Posture",18-55,"Increase overall strength, Improve Flexibility & Mobility",Upper Body (Lats/Chest),"Acute shoulder impingement, lower back pain",Level 4 – Active Wellness,"Free Weights (Dumbbell), Bench",3,12-Oct,6-5,60 seconds,Chest Expansion & Lattissimus Strength,"1. Lie perpendicular across a bench, supporting shoulders and head, feet flat. Hold one dumbbell with both hands over your chest. 2. Slowly lower the dumbbell in an arc behind your head, stretching the chest and lats. 3. Pull the dumbbell back over your chest, finishing with lats/chest tension.",Keep a slight bend in the elbows throughout the movement. Brace your core to prevent excessive arching of the low back.,
